user_id,image_id,class
12,0,1
29,1,44
60,2,71
18,3,11
8,4,99
40,5,62
18,6,42
75,7,96
93,8,89
94,9,15
69,10,48
41,11,3
45,12,57
78,13,59
18,14,63
21,15,35
74,16,38
43,17,31
35,18,5
2,19,52
34,20,53
12,21,65
85,22,72
76,23,42
45,24,78
17,25,31
37,26,61
1,27,56
54,28,46
3,29,58
46,30,67
31,31,90
94,32,19
69,33,28
18,34,89
4,35,39
69,36,77
36,37,50
21,38,4
27,39,29
15,40,78
82,41,89
48,42,3
89,43,70
37,44,38
56,45,88
38,46,44
96,47,19
10,48,32
67,49,79
97,50,88
98,51,92
25,52,34
76,53,51
63,54,64
46,55,14
92,56,78
96,57,30
99,58,92
3,59,75
61,60,76
59,61,85
26,62,44
3,63,69
59,64,52
4,65,40
42,66,73
78,67,10
33,68,80
84,69,34
29,70,96
60,71,93
21,72,87
26,73,5
85,74,65
78,75,69
93,76,65
14,77,71
25,78,40
0,79,80
63,80,32
76,81,42
27,82,86
6,83,40
3,84,49
10,85,17
3,86,22
23,87,18
67,88,14
42,89,86
31,90,47
15,91,78
58,92,10
85,93,89
69,94,43
69,95,90
49,96,68
82,97,40
43,98,10
3,99,74
20,100,64
5,101,77
28,102,23
30,103,59
72,104,56
76,105,27
51,106,39
37,107,0
82,108,75
37,109,52
58,110,58
97,111,80
40,112,39
77,113,57
22,114,28
6,115,71
85,116,8
12,117,65
0,118,36
8,119,16
37,120,50
43,121,27
98,122,10
5,123,36
80,124,68
46,125,8
32,126,57
56,127,59
59,128,0
34,129,84
52,130,85
92,131,52
9,132,73
15,133,14
81,134,1
12,135,49
45,136,79
4,137,21
70,138,95
40,139,71
76,140,24
23,141,85
46,142,45
50,143,33
50,144,27
75,145,2
60,146,63
99,147,13
82,148,90
32,149,6
2,150,37
25,151,34
30,152,90
70,153,71
83,154,65
46,155,54
5,156,26
97,157,49
37,158,95
66,159,57
89,160,21
22,161,10
51,162,35
57,163,40
96,164,39
4,165,99
72,166,44
91,167,99
48,168,86
71,169,86
33,170,32
50,171,25
47,172,53
41,173,19
88,174,99
75,175,59
94,176,12
67,177,47
69,178,48
91,179,59
62,180,92
44,181,32
79,182,2
72,183,61
81,184,56
6,185,94
54,186,97
41,187,81
73,188,73
48,189,83
44,190,9
95,191,59
78,192,86
25,193,13
31,194,37
32,195,40
69,196,41
22,197,78
94,198,14
6,199,67
6,200,16
0,201,28
97,202,39
78,203,2
75,204,22
64,205,54
13,206,38
18,207,45
70,208,74
42,209,21
6,210,93
8,211,98
24,212,41
1,213,38
87,214,81
94,215,28
35,216,25
97,217,79
62,218,31
83,219,0
34,220,18
40,221,82
57,222,12
18,223,78
68,224,99
49,225,45
55,226,93
54,227,61
53,228,40
55,229,29
38,230,29
29,231,4
24,232,59
16,233,80
22,234,86
23,235,71
58,236,80
19,237,5
31,238,58
89,239,30
81,240,87
13,241,88
72,242,39
31,243,7
32,244,44
84,245,7
54,246,27
57,247,40
40,248,53
61,249,8
32,250,38
90,251,78
75,252,55
30,253,21
8,254,35
63,255,6
90,256,2
63,257,21
77,258,57
84,259,44
31,260,5
93,261,13
22,262,82
72,263,39
47,264,37
31,265,94
32,266,82
93,267,1
17,268,79
97,269,79
63,270,95
29,271,53
28,272,66
90,273,73
61,274,78
30,275,81
59,276,11
7,277,44
33,278,15
96,279,33
19,280,37
25,281,32
87,282,15
9,283,61
47,284,8
11,285,45
15,286,84
52,287,56
61,288,77
27,289,71
28,290,83
3,291,94
37,292,27
37,293,79
50,294,74
67,295,71
92,296,94
38,297,69
56,298,16
84,299,13
80,300,55
60,301,38
6,302,39
93,303,87
55,304,62
14,305,78
45,306,58
9,307,58
53,308,8
87,309,43
80,310,66
94,311,52
21,312,19
47,313,82
83,314,32
39,315,52
72,316,79
10,317,15
27,318,5
34,319,90
32,320,48
70,321,36
90,322,15
26,323,45
69,324,8
4,325,20
27,326,84
19,327,11
89,328,53
22,329,89
5,330,29
27,331,36
81,332,57
24,333,67
21,334,5
73,335,16
8,336,38
85,337,95
0,338,85
80,339,52
89,340,27
76,341,83
46,342,43
52,343,55
0,344,72
43,345,33
50,346,93
44,347,94
19,348,65
22,349,89
99,350,79
24,351,18
54,352,13
34,353,13
46,354,39
0,355,80
11,356,85
37,357,29
9,358,24
91,359,84
40,360,91
83,361,34
6,362,50
65,363,3
90,364,70
15,365,82
85,366,48
64,367,32
99,368,13
59,369,28
9,370,70
72,371,66
94,372,10
40,373,75
18,374,81
1,375,91
83,376,87
28,377,35
38,378,0
20,379,79
15,380,54
6,381,99
58,382,54
20,383,57
62,384,38
37,385,28
24,386,4
13,387,82
44,388,51
58,389,89
8,390,28
16,391,10
84,392,85
73,393,51
33,394,3
88,395,23
