user_id,image_id,class
31,0,1
53,1,44
32,2,71
6,3,11
54,4,99
26,5,62
13,6,42
46,7,96
86,8,89
83,9,15
48,10,48
87,11,3
24,12,57
49,13,59
97,14,63
30,15,35
35,16,38
56,17,31
22,18,5
12,19,52
38,20,53
90,21,65
50,22,72
13,23,42
42,24,78
56,25,31
45,26,61
14,27,56
70,28,46
85,29,58
75,30,67
89,31,90
37,32,19
1,33,28
86,34,89
71,35,39
10,36,77
84,37,50
58,38,4
11,39,29
42,40,78
86,41,89
87,42,3
33,43,70
35,44,38
81,45,88
53,46,44
37,47,19
57,48,32
40,49,79
81,50,88
80,51,92
55,52,34
98,53,51
77,54,64
19,55,14
42,56,78
73,57,30
80,58,92
18,59,75
59,60,76
39,61,85
53,62,44
67,63,69
12,64,52
5,65,40
79,66,73
95,67,10
92,68,80
55,69,34
46,70,96
44,71,93
25,72,87
22,73,5
90,74,65
67,75,69
90,76,65
32,77,71
5,78,40
92,79,80
57,80,32
13,81,42
78,82,86
5,83,40
43,84,49
34,85,17
61,86,22
96,87,18
19,88,14
78,89,86
7,90,47
42,91,78
95,92,10
86,93,89
9,94,43
89,95,90
74,96,68
5,97,40
95,98,10
4,99,74
77,100,64
10,101,77
27,102,23
49,103,59
14,104,56
36,105,27
71,106,39
21,107,0
18,108,75
12,109,52
85,110,58
92,111,80
71,112,39
24,113,57
1,114,28
32,115,71
28,116,8
90,117,65
23,118,36
15,119,16
84,120,50
36,121,27
95,122,10
23,123,36
74,124,68
28,125,8
24,126,57
49,127,59
21,128,0
68,129,84
39,130,85
12,131,52
79,132,73
19,133,14
31,134,1
43,135,49
40,136,79
62,137,21
91,138,95
32,139,71
82,140,24
39,141,85
16,142,45
2,143,33
36,144,27
69,145,2
97,146,63
65,147,13
89,148,90
76,149,6
20,150,37
55,151,34
89,152,90
32,153,71
90,154,65
66,155,54
0,156,26
43,157,49
91,158,95
24,159,57
62,160,21
95,161,10
30,162,35
5,163,40
71,164,39
54,165,99
53,166,44
54,167,99
78,168,86
78,169,86
57,170,32
3,171,25
38,172,53
37,173,19
54,174,99
49,175,59
72,176,12
7,177,47
48,178,48
49,179,59
80,180,92
57,181,32
69,182,2
45,183,61
14,184,56
52,185,94
99,186,97
8,187,81
79,188,73
88,189,83
93,190,9
49,191,59
78,192,86
65,193,13
20,194,37
5,195,40
41,196,41
42,197,78
19,198,14
75,199,67
15,200,16
1,201,28
71,202,39
69,203,2
61,204,22
66,205,54
35,206,38
16,207,45
4,208,74
62,209,21
44,210,93
29,211,98
41,212,41
35,213,38
8,214,81
1,215,28
3,216,25
40,217,79
56,218,31
21,219,0
96,220,18
47,221,82
72,222,12
42,223,78
54,224,99
16,225,45
44,226,93
45,227,61
5,228,40
11,229,29
11,230,29
58,231,4
49,232,59
92,233,80
78,234,86
32,235,71
92,236,80
22,237,5
85,238,58
73,239,30
25,240,87
81,241,88
71,242,39
60,243,7
53,244,44
60,245,7
36,246,27
5,247,40
38,248,53
28,249,8
35,250,38
42,251,78
17,252,55
62,253,21
30,254,35
76,255,6
69,256,2
62,257,21
24,258,57
53,259,44
22,260,5
65,261,13
47,262,82
71,263,39
20,264,37
52,265,94
47,266,82
31,267,1
40,268,79
40,269,79
91,270,95
38,271,53
64,272,66
79,273,73
42,274,78
8,275,81
6,276,11
53,277,44
83,278,15
2,279,33
20,280,37
57,281,32
83,282,15
45,283,61
28,284,8
16,285,45
68,286,84
14,287,56
10,288,77
32,289,71
88,290,83
52,291,94
36,292,27
40,293,79
4,294,74
32,295,71
52,296,94
67,297,69
15,298,16
65,299,13
17,300,55
35,301,38
71,302,39
25,303,87
26,304,62
42,305,78
85,306,58
85,307,58
28,308,8
9,309,43
64,310,66
12,311,52
37,312,19
47,313,82
57,314,32
12,315,52
40,316,79
83,317,15
22,318,5
89,319,90
48,320,48
23,321,36
83,322,15
16,323,45
28,324,8
51,325,20
68,326,84
6,327,11
38,328,53
86,329,89
11,330,29
23,331,36
24,332,57
75,333,67
22,334,5
15,335,16
35,336,38
91,337,95
39,338,85
12,339,52
36,340,27
88,341,83
9,342,43
17,343,55
50,344,72
2,345,33
44,346,93
52,347,94
90,348,65
86,349,89
40,350,79
96,351,18
65,352,13
65,353,13
71,354,39
92,355,80
39,356,85
11,357,29
82,358,24
68,359,84
94,360,91
55,361,34
84,362,50
87,363,3
33,364,70
47,365,82
48,366,48
57,367,32
65,368,13
1,369,28
33,370,70
64,371,66
95,372,10
18,373,75
8,374,81
94,375,91
25,376,87
30,377,35
21,378,0
40,379,79
66,380,54
54,381,99
66,382,54
24,383,57
35,384,38
1,385,28
58,386,4
47,387,82
98,388,51
86,389,89
1,390,28
95,391,10
39,392,85
98,393,51
87,394,3
27,395,23
83,396,15
45,397,61
86,398,89
4,399,74
63,400,60
94,401,91
30,402,35
92,403,80
35,404,38
34,405,17
96,406,18
23,407,36
80,408,92
85,409,58
64,410,66
27,411,23
30,412,35
16,413,45
57,414,32
80,415,92
55,416,34
68,417,84
46,418,96
24,419,57
59,420,76
48,421,48
93,422,9
15,423,16
91,424,95
91,425,95
28,426,8
35,427,38
49,428,59
89,429,90
36,430,27
45,431,61
21,432,0
18,433,75
59,434,76
52,435,94
38,436,53
34,437,17
62,438,21
73,439,30
42,440,78
38,441,53
30,442,35
50,443,72
39,444,85
15,445,16
97,446,63
88,447,83
50,448,72
92,449,80
91,450,95
46,451,96
51,452,20
98,453,51
7,454,47
29,455,98
4,456,74
28,457,8
7,458,47
41,459,41
33,460,70
97,461,63
96,462,18
15,463,16
53,464,44
1,465,28
31,466,1
29,467,98
76,468,6
95,469,10
55,470,34
87,471,3
56,472,31
62,473,21
14,474,56
99,475,97
81,476,88
91,477,95
44,478,93
7,479,47
97,480,63
58,481,4
33,482,70
89,483,90
12,484,52
63,485,60
64,486,66
81,487,88
8,488,81
29,489,98
40,490,79
6,491,11
62,492,21
57,493,32
16,494,45
71,495,39
59,496,76
64,497,66
23,498,36
71,499,39
25,500,87
40,501,79
92,502,80
92,503,80
96,504,18
73,505,30
94,506,91
34,507,17
13,508,42
10,509,77
47,510,82
53,511,44
56,512,31
9,513,43
77,514,64
82,515,24
76,516,6
54,517,99
1,518,28
20,519,37
22,520,5
98,521,51
39,522,85
39,523,85
27,524,23
67,525,69
52,526,94
39,527,85
57,528,32
72,529,12
96,530,18
88,531,83
17,532,55
19,533,14
25,534,87
76,535,6
11,536,29
38,537,53
89,538,90
91,539,95
34,540,17
13,541,42
74,542,68
1,543,28
85,544,58
8,545,81
96,546,18
55,547,34
52,548,94
95,549,10
47,550,82
31,551,1
14,552,56
2,553,33
65,554,13
61,555,22
89,556,90
9,557,43
94,558,91
72,559,12
42,560,78
24,561,57
67,562,69
80,563,92
26,564,62
72,565,12
88,566,83
57,567,32
66,568,54
41,569,41
30,570,35
71,571,39
92,572,80
89,573,90
68,574,84
2,575,33
84,576,50
58,577,4
62,578,21
78,579,86
68,580,84
25,581,87
75,582,67
94,583,91
69,584,2
51,585,20
24,586,57
71,587,39
55,588,34
88,589,83
54,590,99
63,591,60
3,592,25
17,593,55
64,594,66
3,595,25
9,596,43
33,597,70
17,598,55
82,599,24
79,600,73
64,601,66
13,602,42
76,603,6
37,604,19
19,605,14
90,606,65
50,607,72
55,608,34
32,609,71
31,610,1
52,611,94
48,612,48
22,613,5
94,614,91
3,615,25
92,616,80
89,617,90
49,618,59
53,619,44
38,620,53
85,621,58
58,622,4
30,623,35
34,624,17
80,625,92
78,626,86
2,627,33
16,628,45
86,629,89
91,630,95
35,631,38
78,632,86
23,633,36
20,634,37
78,635,86
62,636,21
66,637,54
6,638,11
28,639,8
17,640,55
22,641,5
69,642,2
87,643,3
31,644,1
85,645,58
33,646,70
51,647,20
99,648,97
67,649,69
69,650,2
78,651,86
80,652,92
49,653,59
80,654,92
73,655,30
78,656,86
1,657,28
3,658,25
93,659,9
11,660,29
66,661,54
21,662,0
16,663,45
85,664,58
38,665,53
64,666,66
21,667,0
38,668,53
46,669,96
37,670,19
95,671,10
12,672,52
38,673,53
86,674,89
23,675,36
43,676,49
16,677,45
54,678,99
31,679,1
39,680,85
5,681,40
12,682,52
76,683,6
51,684,20
62,685,21
67,686,69
3,687,25
60,688,7
26,689,62
68,690,84
89,691,90
68,692,84
95,693,10
2,694,33
24,695,57
48,696,48
53,697,44
98,698,51
86,699,89
25,700,87
48,701,48
39,702,85
37,703,19
46,704,96
59,705,76
88,706,83
49,707,59
40,708,79
7,709,47
24,710,57
94,711,91
47,712,82
90,713,65
14,714,56
15,715,16
42,716,78
63,717,60
7,718,47
94,719,91
17,720,55
91,721,95
44,722,93
11,723,29
89,724,90
65,725,13
80,726,92
44,727,93
86,728,89
68,729,84
9,730,43
6,731,11
71,732,39
19,733,14
22,734,5
87,735,3
54,736,99
66,737,54
96,738,18
96,739,18
84,740,50
79,741,73
45,742,61
30,743,35
1,744,28
0,745,26
47,746,82
31,747,1
63,748,60
48,749,48
49,750,59
87,751,3
81,752,88
76,753,6
49,754,59
53,755,44
79,756,73
68,757,84
91,758,95
67,759,69
84,760,50
51,761,20
51,762,20
50,763,72
47,764,82
98,765,51
17,766,55
63,767,60
42,768,78
99,769,97
78,770,86
44,771,93
47,772,82
79,773,73
80,774,92
85,775,58
67,776,69
83,777,15
35,778,38
20,779,37
72,780,12
67,781,69
17,782,55
56,783,31
80,784,92
10,785,77
41,786,41
14,787,56
10,788,77
38,789,53
55,790,34
67,791,69
16,792,45
22,793,5
84,794,50
58,795,4
52,796,94
5,797,40
34,798,17
99,799,97
4,800,74
90,801,65
86,802,89
27,803,23
10,804,77
21,805,0
62,806,21
63,807,60
86,808,89
17,809,55
15,810,16
53,811,44
31,812,1
81,813,88
96,814,18
82,815,24
56,816,31
77,817,64
96,818,18
86,819,89
54,820,99
32,821,71
23,822,36
44,823,93
45,824,61
65,825,13
64,826,66
47,827,82
28,828,8
24,829,57
39,830,85
75,831,67
85,832,58
95,833,10
98,834,51
85,835,58
41,836,41
89,837,90
7,838,47
46,839,96
26,840,62
38,841,53
2,842,33
81,843,88
53,844,44
69,845,2
18,846,75
52,847,94
90,848,65
82,849,24
86,850,89
45,851,61
44,852,93
66,853,54
73,854,30
80,855,92
28,856,8
24,857,57
45,858,61
44,859,93
46,860,96
80,861,92
96,862,18
40,863,79
86,864,89
19,865,14
53,866,44
29,867,98
52,868,94
15,869,16
63,870,60
45,871,61
38,872,53
7,873,47
82,874,24
0,875,26
55,876,34
6,877,11
33,878,70
2,879,33
46,880,96
61,881,22
26,882,62
0,883,26
44,884,93
82,885,24
6,886,11
1,887,28
0,888,26
6,889,11
11,890,29
68,891,84
72,892,12
32,893,71
18,894,75
65,895,13
76,896,6
43,897,49
63,898,60
14,899,56
25,900,87
58,901,4
62,902,21
36,903,27
11,904,29
38,905,53
50,906,72
84,907,50
74,908,68
7,909,47
24,910,57
97,911,63
93,912,9
27,913,23
57,914,32
6,915,11
81,916,88
87,917,3
15,918,16
86,919,89
8,920,81
73,921,30
84,922,50
23,923,36
16,924,45
51,925,20
3,926,25
50,927,72
80,928,92
24,929,57
50,930,72
75,931,67
37,932,19
71,933,39
15,934,16
67,935,69
97,936,63
91,937,95
27,938,23
42,939,78
46,940,96
73,941,30
13,942,42
93,943,9
7,944,47
52,945,94
3,946,25
26,947,62
28,948,8
93,949,9
56,950,31
14,951,56
23,952,36
28,953,8
29,954,98
63,955,60
51,956,20
1,957,28
0,958,26
64,959,66
20,960,37
25,961,87
91,962,95
56,963,31
11,964,29
8,965,81
20,966,37
7,967,47
51,968,20
0,969,26
44,970,93
69,971,2
17,972,55
91,973,95
40,974,79
84,975,50
39,976,85
32,977,71
73,978,30
42,979,78
93,980,9
41,981,41
27,982,23
35,983,38
75,984,67
89,985,90
37,986,19
27,987,23
96,988,18
85,989,58
46,990,96
0,991,26
47,992,82
27,993,23
17,994,55
39,995,85
90,996,65
27,997,23
70,998,46
9,999,43
4,1000,74
29,1001,98
76,1002,6
16,1003,45
78,1004,86
43,1005,49
96,1006,18
45,1007,61
54,1008,99
77,1009,64
55,1010,34
32,1011,71
77,1012,64
6,1013,11
23,1014,36
72,1015,12
11,1016,29
89,1017,90
41,1018,41
71,1019,39
39,1020,85
29,1021,98
32,1022,71
90,1023,65
36,1024,27
1,1025,28
6,1026,11
79,1027,73
0,1028,26
19,1029,14
98,1030,51
31,1031,1
11,1032,29
38,1033,53
76,1034,6
80,1035,92
75,1036,67
39,1037,85
12,1038,52
59,1039,76
81,1040,88
76,1041,6
80,1042,92
29,1043,98
37,1044,19
2,1045,33
84,1046,50
21,1047,0
78,1048,86
20,1049,37
39,1050,85
69,1051,2
96,1052,18
49,1053,59
72,1054,12
15,1055,16
29,1056,98
29,1057,98
0,1058,26
31,1059,1
80,1060,92
39,1061,85
14,1062,56
24,1063,57
2,1064,33
15,1065,16
28,1066,8
57,1067,32
67,1068,69
82,1069,24
87,1070,3
0,1071,26
83,1072,15
56,1073,31
18,1074,75
38,1075,53
71,1076,39
51,1077,20
38,1078,53
35,1079,38
41,1080,41
51,1081,20
31,1082,1
85,1083,58
92,1084,80
25,1085,87
48,1086,48
93,1087,9
41,1088,41
97,1089,63
49,1090,59
43,1091,49
51,1092,20
30,1093,35
46,1094,96
26,1095,62
99,1096,97
33,1097,70
35,1098,38
87,1099,3
10,1100,77
95,1101,10
26,1102,62
82,1103,24
36,1104,27
91,1105,95
94,1106,91
92,1107,80
83,1108,15
17,1109,55
41,1110,41
87,1111,3
84,1112,50
79,1113,73
70,1114,46
2,1115,33
59,1116,76
75,1117,67
28,1118,8
43,1119,49
14,1120,56
4,1121,74
13,1122,42
48,1123,48
57,1124,32
25,1125,87
22,1126,5
54,1127,99
38,1128,53
31,1129,1
65,1130,13
40,1131,79
24,1132,57
88,1133,83
7,1134,47
91,1135,95
47,1136,82
91,1137,95
82,1138,24
47,1139,82
27,1140,23
1,1141,28
6,1142,11
87,1143,3
98,1144,51
74,1145,68
76,1146,6
63,1147,60
97,1148,63
65,1149,13
10,1150,77
62,1151,21
7,1152,47
